timestamp_optimized,arm_order,arm1,arm2,arm3,timestamp_measured,power_dbm
2026-06-11T01:00:28+02:00,QHQ,83,93,121,2026-06-11T01:00:33+02:00,-26.8636
2026-06-11T01:05:25+02:00,HQQ,78,112,75,2026-06-11T01:05:30+02:00,-29.8066
2026-06-11T01:10:31+02:00,QHQ,154,119,130,2026-06-11T01:10:36+02:00,-27.9382
2026-06-11T01:15:27+02:00,HQQ,45,74,97,2026-06-11T01:15:32+02:00,-29.7911
2026-06-11T01:20:33+02:00,QHQ,154,151,83,2026-06-11T01:20:38+02:00,-25.5953
2026-06-11T01:25:29+02:00,HQQ,64,82,108,2026-06-11T01:25:34+02:00,-30.8092
2026-06-11T01:30:27+02:00,QHQ,25,66,81,2026-06-11T01:30:32+02:00,-27.7541
2026-06-11T01:35:29+02:00,HQQ,118,99,126,2026-06-11T01:35:34+02:00,-29.4372
2026-06-11T01:40:33+02:00,QHQ,154,117,127,2026-06-11T01:40:38+02:00,-29.2775
2026-06-11T01:45:35+02:00,HQQ,5,154,140,2026-06-11T01:45:40+02:00,-28.5939
2026-06-11T01:50:28+02:00,QHQ,32,67,82,2026-06-11T01:50:33+02:00,-27.2566
2026-06-11T01:55:28+02:00,HQQ,147,111,126,2026-06-11T01:55:33+02:00,-30.2308
2026-06-11T02:00:28+02:00,QHQ,21,58,76,2026-06-11T02:00:34+02:00,-26.5765
2026-06-11T02:05:37+02:00,HQQ,154,14,14,2026-06-11T02:05:42+02:00,-30.3772
2026-06-11T02:10:34+02:00,QHQ,7,154,139,2026-06-11T02:10:39+02:00,-28.4642
2026-06-11T02:15:29+02:00,HQQ,68,101,68,2026-06-11T02:15:34+02:00,-29.1154
2026-06-11T02:20:30+02:00,QHQ,154,149,74,2026-06-11T02:20:35+02:00,-25.4288
2026-06-11T02:25:39+02:00,HQQ,152,12,13,2026-06-11T02:25:44+02:00,-27.2308
2026-06-11T02:30:35+02:00,QHQ,154,148,73,2026-06-11T02:30:40+02:00,-27.7425
2026-06-11T02:35:37+02:00,HQQ,154,13,13,2026-06-11T02:35:42+02:00,-28.8731
2026-06-11T02:40:27+02:00,QHQ,112,122,57,2026-06-11T02:40:32+02:00,-27.0409
2026-06-11T02:45:35+02:00,HQQ,9,154,138,2026-06-11T02:45:40+02:00,-29.6629
2026-06-11T02:50:27+02:00,QHQ,59,77,97,2026-06-11T02:50:32+02:00,-29.7387
2026-06-11T02:55:28+02:00,HQQ,142,129,48,2026-06-11T02:55:33+02:00,-27.0639
2026-06-11T03:00:38+02:00,QHQ,154,13,12,2026-06-11T03:00:43+02:00,-26.6843
2026-06-11T03:05:29+02:00,HQQ,80,108,56,2026-06-11T03:05:34+02:00,-30.6781
2026-06-11T03:10:29+02:00,QHQ,81,87,112,2026-06-11T03:10:34+02:00,-27.1005
2026-06-11T03:15:36+02:00,HQQ,154,139,53,2026-06-11T03:15:41+02:00,-29.621
2026-06-11T03:20:31+02:00,QHQ,154,151,72,2026-06-11T03:20:36+02:00,-23.0922
